transaction_id,transaction_date,customer_id,customer_segment,account_type,transaction_type,category,channel,amount,city,year,month,month_name,year_month
TXN000001,2025-10-04,CUST0362,Affluent,Savings,Deposit,Groceries,ATM,666.11,Stellenbosch,2025,10,October,2025-10
TXN000002,2025-11-13,CUST0195,Mass Market,Current,Transfer,Subscriptions,Mobile,738.59,Cape Town,2025,11,November,2025-11
TXN000003,2025-03-20,CUST0277,Mass Market,Savings,Transfer,Dining,Branch,453.16,Port Elizabeth,2025,3,March,2025-03
TXN000004,2025-03-26,CUST0152,Mass Market,Current,Withdrawal,Groceries,Mobile,212.04,Durban,2025,3,March,2025-03
TXN000005,2025-07-06,CUST0177,Mass Market,Current,Transfer,Travel,Branch,513.86,Johannesburg,2025,7,July,2025-07
TXN000006,2025-05-26,CUST0009,Affluent,Current,Withdrawal,Entertainment,Branch,65.76,Johannesburg,2025,5,May,2025-05
TXN000007,2025-05-03,CUST0446,Mass Market,Current,Payment,Travel,Online,91.31,Stellenbosch,2025,5,May,2025-05
TXN000008,2025-07-08,CUST0227,Mass Market,Savings,Deposit,Travel,Mobile,933.79,Durban,2025,7,July,2025-07
TXN000009,2025-05-25,CUST0166,Premium,Current,Withdrawal,Education,Branch,122.81,Johannesburg,2025,5,May,2025-05
TXN000010,2025-08-03,CUST0306,Mass Market,Credit,Transfer,Entertainment,Branch,354.14,Johannesburg,2025,8,August,2025-08
TXN000011,2025-03-12,CUST0262,Affluent,Credit,Payment,Groceries,Mobile,75.33,Port Elizabeth,2025,3,March,2025-03
TXN000012,2025-07-10,CUST0302,Affluent,Current,Deposit,Transport,Branch,4579.48,Pretoria,2025,7,July,2025-07
TXN000013,2025-03-05,CUST0461,Premium,Savings,Payment,Transport,Online,230.75,Johannesburg,2025,3,March,2025-03
TXN000014,2025-05-20,CUST0311,Premium,Current,Withdrawal,Education,Online,206.28,Cape Town,2025,5,May,2025-05
TXN000015,2025-08-12,CUST0373,Mass Market,Savings,Purchase,Entertainment,Mobile,50.75,Johannesburg,2025,8,August,2025-08
