transaction_id,transaction_date,customer_id,customer_segment,account_type,transaction_type,category,channel,amount,city
TXN000001,2025-10-04,CUST0362,Affluent,Savings,Deposit,Groceries,ATM,666.11,Stellenbosch
TXN000002,2025-11-13,CUST0195,Mass Market,Current,Transfer,Subscriptions,Mobile,738.59,Cape Town
TXN000003,2025-03-20,CUST0277,Mass Market,Savings,Transfer,Dining,Branch,453.16,Port Elizabeth
TXN000004,2025-03-26,CUST0152,Mass Market,Current,Withdrawal,Groceries,Mobile,212.04,Durban
TXN000005,2025-07-06,CUST0177,Mass Market,Current,Transfer,Travel,Branch,513.86,Johannesburg
TXN000006,2025-05-26,CUST0009,Affluent,Current,Withdrawal,Entertainment,Branch,65.76,Johannesburg
TXN000007,2025-05-03,CUST0446,Mass Market,Current,Payment,Travel,Online,91.31,Stellenbosch
TXN000008,2025-07-08,CUST0227,Mass Market,Savings,Deposit,Travel,Mobile,933.79,Durban
TXN000009,2025-05-25,CUST0166,Premium,Current,Withdrawal,Education,Branch,122.81,Johannesburg
TXN000010,2025-08-03,CUST0306,Mass Market,Credit,Transfer,Entertainment,Branch,354.14,Johannesburg
TXN000011,2025-03-12,CUST0262,Affluent,Credit,Payment,Groceries,Mobile,75.33,Port Elizabeth
TXN000012,2025-07-10,CUST0302,Affluent,Current,Deposit,Transport,Branch,4579.48,Pretoria
TXN000013,2025-03-05,CUST0461,Premium,Savings,Payment,Transport,Online,230.75,Johannesburg
TXN000014,2025-05-20,CUST0311,Premium,Current,Withdrawal,Education,Online,206.28,Cape Town
TXN000015,2025-08-12,CUST0373,Mass Market,Savings,Purchase,Entertainment,Mobile,50.75,Johannesburg
TXN000016,2025-06-28,CUST0478,Mass Market,Credit,Purchase,Healthcare,Card,71.9,Durban
TXN000017,2025-07-22,CUST0071,Mass Market,Current,Deposit,Shopping,Online,132.67,Cape Town
TXN000018,2025-07-17,CUST0202,Mass Market,Current,Purchase,Shopping,Online,34.51,Stellenbosch
TXN000019,2025-01-15,CUST0102,Affluent,Savings,Payment,Transport,ATM,275.98,Port Elizabeth
TXN000020,2025-03-16,CUST0281,Affluent,Current,Transfer,Groceries,ATM,291.21,Durban
TXN000021,2025-08-30,CUST0098,Premium,Current,Transfer,Travel,Mobile,1382.7,Johannesburg
TXN000022,2025-11-12,CUST0424,Affluent,Credit,Purchase,Transport,Card,42.34,Stellenbosch
TXN000023,2025-05-12,CUST0134,Mass Market,Credit,Transfer,Dining,Branch,388.17,Johannesburg
TXN000024,2025-11-08,CUST0462,Mass Market,Current,Deposit,Healthcare,Card,799.88,Johannesburg
TXN000025,2025-05-28,CUST0100,Affluent,Savings,Transfer,Utilities,Card,777.27,Pretoria
TXN000026,2025-01-25,CUST0182,Mass Market,Current,Transfer,Healthcare,Branch,345.03,Pretoria
TXN000027,2025-08-23,CUST0022,Mass Market,Savings,Purchase,Transport,Mobile,34.06,Stellenbosch
TXN000028,2025-11-02,CUST0098,Premium,Current,Deposit,Groceries,Branch,1275.2,Johannesburg
TXN000029,2025-10-22,CUST0326,Mass Market,Current,Transfer,Dining,ATM,580.33,Pretoria
TXN000030,2025-08-08,CUST0188,Mass Market,Current,Purchase,Subscriptions,ATM,31.85,Johannesburg
